index,year,count,sentiment,song,singer,line
78,2006,4,1,Ba Bump,Black Eyed Peas,And if you got money fellas keep it like Trump
79,2006,5,1,Buy U Some 2,Erick Sermon,"No need to talk about the reeiches, I mean Trump punk"
80,2006,6,1,Coke & Wet,Spank Rock,"That's Wall Street, Donald Trump, bass grilla stack"
81,2006,7,1,Favorite Drug,Styles P,"Got a blunt blaze it up, we can get a room in the Trump"
82,2006,8,1,It's Goin' Down,Yung Joc,Boys from the hood call me black Donald Trump
83,2006,9,1,Jealousy,Fat Joe,We fuckin with Donald Trump now
84,2006,10,1,Kick it Like That,Styles P,"I'm at the double-oh suites of Trump, for at least a month"
85,2006,11,1,We Gon' Make It,Diddy,"That Bill Gates, Donald Trump, Bloomberg money"
86,2006,12,1,Yeah Yeah Yeah,Akala,"It amazes me, these rappers are so dumb / Get they advance and think they Trump"
87,2007,1,0,Men of Respect,Sheek Louch,"I'm getting sex from 9th and up, that's living it up / Not Donald Trump but what, buying pies for the class"
88,2007,2,0,Midgets and Giants,Sage Francis,"Fuck an apprentice, I've got more firepower than Donald Trump"
89,2007,3,0,My Drink n My 2 Step (Remix),Kanye West,"We fired motherfuckers, Donald Trump n----"
90,2007,4,0,The Morning News,Chamillionaire,Rosie O'Donnell and Donald Trump stay arguin' about nonsense
91,2007,5,1,Blow Ya Mind Remix,Jadakiss,"Pump haze, blow sour, top floor of the Trump Towers"
92,2007,6,1,Invisible Man,Joe Budden,"One's national, Trump International, rational"
93,2007,7,1,Success,Jay Z,I got watches I ain't seen in months / Apartment at the Trump; I only slept in once
94,2008,1,0,How We Rock,Termanology,I copped enough coke and guns to open Trump
95,2008,2,0,K.O.T.T.O.N.M.O.U.T.H.,Kottonmouth Kings,I'm like the Donald Trump of drinking and homie your fired
96,2008,3,0,Pimp Slap,Tyler the Creator,With my Donald Trump hair piece you're an apprentice
97,2008,4,1,Loose,Spank Rock,"Ain't that what you want, a Hilton ain't a Trump"
98,2008,5,1,Make the World Go Round,Nas,Get the whole Trump Tower top floor for the hood
99,2008,6,1,Mo Cars Mo Hoes,Fabolous,"They know I'm hood rich, Donald Trump of the pumpers"
100,2008,7,1,,Freck Billionaire,"Trump Tower, you ain't got the same room as me"
101,2008,8,1,Suicide,Fabolous,"It's Loso, a.k.a the 1 Trump Plaza suite creeper"
102,2008,9,1,This Is the Life,Rick Ross,"I'm in Trump Towers, amongst earners"
103,2009,1,0,Don't Trip,Petey Pablo,I done been with Donald Trump and you help bitches
104,2009,2,0,I'm Ballin,Rick Ross,Proceeds 'till we perceive the stunt like Donald Trump
105,2009,3,1,Billionaire,Twista,Donald Trump makin big money go-getter
106,2009,4,1,Ice Cream,Lil Wayne,"I was in the trenches, now I'm in the Trump"
107,2009,5,1,Is It Love,Kendrick Lamar,"Give me fame and fortune, me and Trump on golf courses"
108,2009,6,1,Put Ya in Da Game,Fat Joe,"I took her out of the 'jects, the top floor of the Trump"
109,2009,7,2,Folklore,Dumbtron,Alarming heat at the heels of a punk politician / Trump tall tales with a bump full of bomb fission
110,2010,1,0,Blue Flame Remix,Lil B,"Call me Donald Trump how I fire losers / How Donald Trump fire workers, I fire rugers"
111,2010,2,0,Salute,The Diplomats,"She was wearin pumps, headed to the Trump"
112,2010,3,0,So Appalled,Kanye West,"Balding, Donald Trump taking dollars from y'all"
113,2010,4,0,Song for the Ville,J.Cole,"Bill Gates, Donald Trump, motherfucker let me in"
